"AlternateTitle","FileIdentifier","Title","Abstract","TopicCategory","Keywords","TemporalExtentBegin","TemporalExtentEnd","DatasetReferenceDate","AdditionalInformationSource","Lineage","DataFormat","ResponsibleOrganisationName","ResponsibleOrganisationEmail","ResponsibleOrganisationRole","LimitationsOnPublicAccess","UseConstraints","SpatialReferenceSystem","Resolution","MetadataDate","MetadataLanguage","MetadataPOCName","MetadataPOCEmail","MetadataPOCRole","ResourceLocator","ResourceType","BBoxNorth","BBoxSouth","BBoxEast","BBoxWest","Path","JNCCReferenceManagerCode","Notes"
"GB000284","","MNCR Area Summaries - Inlets in the Bristol Channel and approaches","The habitats and communities of the marine inlets of south-west Britain have been the subject of various surveys, primarily the Harbours, Rias and Estuaries (HRE) programme commissioned by the then Nature Conservancy Council. The HRE surveys were carried out by the Field Studies Council Oil Pollution Research Unit (OPRU) between 1985 and 1989 and covered all of the major and most of the minor inlets between Portsmouth and Milford Haven. The report summarises information on fourteen marine inlets, from the River Hayle in Cornwall northwards to Milford Haven in Pembrokeshire. The data from the HRE surveys, together with data from a variety of other sources, have been analysed to classify the marine biotopes present and to describe their distribution within each inlet.","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000284""}, {""reference-manager-code"", ""B236""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Intertidal survey""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Translated to EUNIS""}, {""SeabedMapStatus"", ""Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS""}","1985-01-01","1996-12-31","","Moore, J., Smith, J., Northern, K.O., & Little, M. (1998) Marine Nature Conservation Review Sector 9. Inlets in the Bristol Channel and approaches: area summaries. Peterborough, Joint Nature Conservation Committee. (Coasts and seas of the United Kingdom. ","Classification system details: Classified according to MNCR 97.06 scheme. Associated datasets: GB000373","Geographic Information System","Joint Nature Conservation Committee","xcomment@jncc.gov.uk","originator","Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS","Data available for non-commercial use; contact the data owner",,,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000284&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","52.70758","50.17456","-2.211461","-5.936403","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000284","B236","DUPLICATE: this is the same as GB000373.  Defra data contract Phase I"
"GB000285","","MNCR Area Summaries - Cardigan Bay and north Wales; scar","In 1995 the Marine Nature Conservation Review (MNCR) initiated a survey of Cardigan Bay and north Wales (MNCR Sector 10). Field surveys undertaken between 1995 and 1997 covered 23 sections of the coast within Sector 10. This included field surveys of the shores and nearshore subtidal zone to describe the biotopes. Comparable data from other organisations have been added to provide information on over 700 sites within the region and analysed to classify the biotopes present. ","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000285""}, {""reference-manager-code"", ""B265""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Intertidal survey""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Translated to EUNIS""}, {""SeabedMapStatus"", ""Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS""}","1995-01-01","1997-12-31","","Brazier, D.P., Holt, R.H.F., Murray, E., & Nichols, D.M. (1999) Marine Nature Conservation Review Sector 10. Cardigan Bay and North Wales: area summaries. Peterborough, Joint Nature Conservation Committee. (Coasts and seas of the United Kingdom. MNCR seri","Classification system details: Classified according to MNCR 97.06 scheme","Geographic Information System","Joint Nature Conservation Committee","xcomment@jncc.gov.uk","originator","Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS","Data available for non-commercial use; contact the data owner",,,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000285&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","53.57701","51.84470","-3.722522","-4.997614","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000285","B265","These Shapefiles have been merged together but have overlapping polygons with disagreeing attributes.  Defra data contract Phase I"
"GB000286","","MNCR Area Summaries - Liverpool Bay and the Solway Firth; Wigtown and Kirkcudbright Bays","The coast from Colwyn Bay in north Wales to the Mull of Galloway in south-west Scotland (MNCR Sector 11) has been studied as part of the Marine Nature Conservation Review programme. This included field surveys of the shores and nearshore subtidal zone to describe the biotopes. Comparable data from other organisations have been added to provide information on over 320 sites within the region and analysed to classify the biotopes present. The information available for MNCR Sector 11 is presented as 12 area summaries.","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000286""}, {""reference-manager-code"", ""B234""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Intertidal survey""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Confidence assessment complete""}, {""SeabedMapStatus"", ""Translated to EUNIS""}, {""SeabedMapStatus"", ""Data Provider Agreement not required - owned by JNCC or ME","1989-01-01","1991-12-31","","Covey, R. (1998) Marine Nature Conservation Review Sector 11. Liverpool Bay and the Solway Firth: area summaries. Peterborough, Joint Nature Conservation Committee. (Coasts and seas of the United Kingdom. MNCR series)","Classification system details: Classified according to MNCR 97.06 scheme","Geographic Information System","Joint Nature Conservation Committee","xcomment@jncc.gov.uk","originator","Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS","Data available for non-commercial use; contact the data owner",,,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000286&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","55.84480","52.80842","-2.066029","-5.011629","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000286","B234","These Shapefiles have been merged together but have overlapping polygons  Defra data contract Phase I"
"GB000287","","MNCR Area Summaries - Sealochs in the Clyde Sea","The sealochs of the Clyde Sea (MNCR Sector 12) have been studied as part of the Marine Nature Conservation Review programme. This included field surveys of the shores and nearshore subtidal zone to describe the biotopes. Comparable data from other organisations have been added to provide information on over 250 sites within the region and analysed to classify the biotopes present. The information available for MNCR Sector 12 is presented as 7 area summaries.","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000287""}, {""reference-manager-code"", ""B263""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Intertidal survey""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Translated to EUNIS""}, {""SeabedMapStatus"", ""Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS""}","1988-01-01","1990-12-31","","Dipper, F.A. & Beaver, R. (1999) Marine Nature Conservation Review Sector 12. Sealochs in the Clyde Sea: area summaries. Peterborough, Joint Nature Conservation Committee. (Coasts and seas of the United Kingdom. MNCR series)","Classification system details: Classified according to MNCR 97.06 scheme. Associated datasets: GB000374","Geographic Information System","Joint Nature Conservation Committee","xcomment@jncc.gov.uk","originator","Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS","Data available for non-commercial use; contact the data owner",,,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000287&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","56.32526","54.88952","-4.415884","-5.496533","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000287","B263","Shapefiles split into two parts (parts 1 & 2).  Polygons overlap very slightly between parts 1 & 2  Defra data contract Phase I"
"GB000288","","MNCR Area Summaries - Sealochs in west Scotland","Unpublished","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000288""}, {""reference-manager-code"", ""B289""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Intertidal survey""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Translated to EUNIS""}, {""SeabedMapStatus"", ""Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS""}","1994-01-01","1995-12-31","","Dipper, F., Howson, C., and Steele, D. 2008. MNCR Area Summaries - Sealochs in west Scotland","Classification system details: Classified according to MNCR 97.06 scheme. Associated datasets: GB000375","Geographic Information System","Joint Nature Conservation Committee","xcomment@jncc.gov.uk","originator","Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS","Data available for non-commercial use; contact the data owner",,,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000288&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","56.93726","55.54513","-4.777495","-6.630840","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000288","B289","Sector 13 sealochs not yet finalised or published - don't translate yet. Shapefiles split into two parts (parts 1 & 2).  Overlapping polygons between parts 1 & 2. Non-simple topology: failed to simplify.  Defra data contract Phase I"
"GB000289","","MNCR Area Summaries - Sealochs in the Outer Hebrides","The sealochs of the Outer Hebrides (MNCR Sector 14) have been studied as part of the Marine Nature Conservation Review programme. This included field surveys of the shores and nearshore subtidal zone to describe the biotopes. Comparable data from other organisations have been added to provide information on over 400 sites within the region and analysed to classify the biotopes present. The information available for MNCR Sector 14 is presented as 26 area summaries.","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000289""}, {""reference-manager-code"", ""B288""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Intertidal survey""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Translated to EUNIS""}, {""SeabedMapStatus"", ""Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS""}","1988-01-01","1990-12-31","","Beaver, R. & Dipper, F.A. (2002) Marine Nature Conservation Review Sector 14. Sealochs in the Outer Hebrides: area summaries. Peterborough, Joint Nature Conservation Committee. (Coasts and seas of the United Kingdom. MNCR series)","Classification system details: Classified according to MNCR 97.06 scheme","Geographic Information System","Joint Nature Conservation Committee","xcomment@jncc.gov.uk","originator","Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS","Data available for non-commercial use; contact the data owner","http://www.opengis.net/def/crs/EPSG/0/4326",,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000289&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","58.66544","57.09657","-6.163132","-7.712165","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000289","B288","Some polygons overlap with GB000292 and GB000376  Defra data contract Phase I then revisited"
"GB000290","","MNCR Area Summaries - Sealochs in north-west Scotland",,"biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000290""}, {""reference-manager-code"", ""B287""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Intertidal survey""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Translated to EUNIS""}, {""SeabedMapStatus"", ""Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS""}","1994-01-01","1995-12-31","","Dipper, F.A., & Johnston, C.M. (2002) Marine Nature Conservation Review Sector 15. Sealochs in north-west Scotland: area summaries. Peterborough, Joint Nature Conservation Committee. (Coasts and seas of the United Kingdom. MNCR series)","Classification system details: Classified according to MNCR 97.06 scheme","Geographic Information System","Joint Nature Conservation Committee","xcomment@jncc.gov.uk","originator","Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS","Data available for non-commercial use; contact the data owner",,,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000290&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","58.69042","56.50198","-4.110532","-6.790001","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000290","B287","Failed to batch dissolve and failed manual dissolve: digitise boundary polygon. Cannot find the report for this.  Defra data contract Phase I"
"GB000291","","MNCR Area Summaries - Lagoons in Shetland and Orkney","In 1993, the MNCR initiated a survey of lagoons in Scotland. Eighteen lagoons in MNCR Sector 1, the Shetland Islands, were surveyed in August 1993 and sixteen lagoons were surveyed in July 1994 in MNCR Sector 2, the Orkney Islands. This included field surveys of the shores and nearshore subtidal zone to describe the biotopes. Comparable data from other organisations have been added and the data analysed to classify the biotopes present. The information available for MNCR Sectors 1 & 2 is presented as 34 area summaries.","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000291""}, {""reference-manager-code"", ""B227""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Intertidal survey""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Translated to EUNIS""}, {""SeabedMapStatus"", ""Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS""}","1993-08-01","1997-07-31","","Thorpe, K. (1998) Marine Nature Conservation Review Sectors 1 & 2. Lagoons in Shetland and Orkney: area summaries. Peterborough, Joint Nature Conservation Committee. (Coasts and seas of the United Kingdom. MNCR series)","Classification system details: Classified according to MNCR 97.06 scheme","Geographic Information System","Joint Nature Conservation Committee","xcomment@jncc.gov.uk","originator","Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS","Data available for non-commercial use; contact the data owner","http://www.opengis.net/def/crs/EPSG/0/4326",,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000291&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","60.83796","58.72968","-0.791666","-3.299932","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000291","B227","Defra data contract Phase I, then revisited"
"GB000292","","MNCR Area Summaries - Lagoons in the Outer Hebrides","In 1993, the MNCR initiated a survey of lagoons in Scotland. Seventy-two lagoons in the Outer Hebrides were studied as part of this programme. This included field surveys of the shores (if tidal) and subtidal zone of each lagoon to describe the biotopes. Comparable data from other organisations have been added and the data analysed to classify the biotopes present. The information available for MNCR Sector 14 is presented as 72 area summaries.","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000292""}, {""reference-manager-code"", ""B242, OF1309""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Intertidal survey""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Translated to EUNIS""}, {""SeabedMapStatus"", ""Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS""}","","","","Thorpe, K., Dalkin, M.J., Fortune, F., & Nichols, D.M. (1998) Marine Nature Conservation Review Sector 14. Lagoons in the Outer Hebrides: area summaries. Peterborough, Joint Nature Conservation Committee. (Coasts and seas of the United Kingdom. MNCR serie","Classification system details: Classified according to MNCR 97.06 scheme. Associated datasets: GB000376","Geographic Information System","Joint Nature Conservation Committee","xcomment@jncc.gov.uk","originator","Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS","Data available for non-commercial use; contact the data owner","http://www.opengis.net/def/crs/EPSG/0/4326",,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000292&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","58.43815","56.87360","-6.376744","-7.793883","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000292","B242, OF1309","Shapefiles split into two parts (parts 1 & 2). Overlapping polygons between parts 1 & 2  Defra data contract Phase I, then revisited"
"GB000282","","MNCR Area Summaries - Inlets in eastern England","A series of twelve marine inlets on the East Anglian and north Kent coasts (MNCR sector 6) have been studied as part of the Marine Nature Conservation Review programme.  Comparable data from other organisations have been added to provide information on over 460 sites within the twelve inlets and analysed to classify the biotopes present. ","biota","{""jncc-broad-category"", ""SeabedHabitatMaps""}, {""MESH_GUI"", ""GB000282""}, {""reference-manager-code"", ""B230, OF1309""}, {""SeabedSurveyPurpose"", ""Nature conservation""}, {""SeabedSurveyTechnique"", ""Intertidal survey""}, {""SeabedSurveyTechnique"", ""Diver survey""}, {""OriginalSeabedClassificationSystem"", ""MNCR""}, {""SeabedMapStatus"", ""Show on webGIS""}, {""SeabedMapStatus"", ""Translated to EUNIS""}, {""SeabedMapStatus"", ""Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS""}","1992-01-01","1993-12-31","","Hill, T.O., Emblow, C.S., & Northern, K.O. (1996) Marine Nature Conservation Review Sector 6. Inlets in eastern England: area summaries. Peterborough, Joint Nature Conservation Committee. (Coasts and seas of the United Kingdom. MNCR series)","Classification system details: Classified according to MNCR 97.06 scheme. Associated datasets: GB000372","Geographic Information System","Joint Nature Conservation Committee","xcomment@jncc.gov.uk","originator","Data Provider Agreement not required - owned by JNCC or MESH - FULL ACCESS","Data available for non-commercial use; contact the data owner",,,"2013-11-12","eng","Joint Nature Conservation Committee (JNCC)","xhelen.ellwood@jncc.gov.uk","pointOfContact","http://www.searchmesh.net/default.aspx?page=1974&&mapInstance=MESHAtlanticMap_&mapZoomToId=GB000282&mapZoomToField=ORIG_GUI&mapZoomToLayer=HabitatMappingAreas","dataset","51.81857","51.29517","1.035482","0.656834","J:\Reference\Marine\Habitats\1_EUNIS_HabitatMaps.gdb\IndividualOnMESHwebGIS_AllEUNIS07\GB000282","B230, OF1309","Shapefiles split into two parts (parts 1 & 2) which overlap each other  Defra data contract Phase I"
